Gender,Age,Debt,Married,BankCustomer,Industry,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,target
0,33.67,0.375,1,1,8,4,0.375,0,0,0,0,0,300,44,1
1,32.75,2.335,1,1,10,1,5.75,0,0,0,1,0,292,0,0
0,24.33,2.5,0,0,1,0,4.5,0,0,0,0,0,200,456,0
1,28.75,1.5,0,0,4,4,1.5,1,0,0,1,0,0,225,0
0,33.25,3.0,0,0,2,4,2.0,0,0,0,0,0,180,0,0
1,24.5,12.75,1,1,4,0,4.75,1,1,2,0,0,73,444,1
1,27.83,4.0,0,0,1,1,5.75,1,1,2,1,0,75,0,0
0,30.42,1.375,1,1,7,1,0.04,0,1,3,0,0,0,33,0
1,26.67,2.71,0,0,8,4,5.25,1,1,1,0,0,211,0,1
0,27.67,1.5,1,1,0,4,2.0,1,0,0,0,1,368,0,0
0,17.58,9.0,1,1,2,4,1.375,1,0,0,1,0,0,0,1
1,19.67,0.375,1,1,9,4,2.0,1,1,2,1,0,80,0,1
0,23.0,1.835,1,1,11,3,0.0,0,1,1,0,0,200,53,0
1,26.67,14.585,1,1,1,0,0.0,0,0,0,1,0,178,0,0
0,15.83,7.625,1,1,9,4,0.125,0,1,1,1,0,0,160,0
1,24.58,12.5,1,1,7,4,0.875,1,0,0,1,0,260,0,0
1,39.17,2.5,0,0,1,1,10.0,0,0,0,1,1,200,0,0
1,22.08,2.335,1,1,5,4,0.75,0,0,0,0,0,180,0,0
1,56.75,12.25,1,1,0,4,1.25,1,1,4,1,0,200,0,1
0,18.92,9.25,0,0,4,4,1.0,1,1,4,1,0,80,500,1
1,20.0,0.0,1,1,10,4,0.5,0,0,0,0,0,144,0,0
1,29.17,3.5,1,1,7,4,3.5,1,1,3,1,0,329,0,0
0,22.83,2.29,1,1,9,1,2.29,1,1,7,1,0,140,2384,1
1,20.0,11.045,1,1,4,4,2.0,0,0,0,1,0,136,0,0
1,31.0,2.085,1,1,4,4,0.085,0,0,0,0,0,300,0,0
1,31.33,19.5,1,1,4,4,7.0,1,1,16,0,0,0,5000,1
1,22.25,0.46,1,1,5,4,0.125,0,0,0,1,0,280,55,0
0,68.67,15.0,1,1,3,3,0.0,1,1,14,0,0,0,3376,1
1,48.58,0.205,0,0,5,4,0.25,1,1,11,0,0,380,2732,1
0,52.5,7.0,1,1,2,1,3.0,0,0,0,0,0,0,0,0
1,34.92,2.5,1,1,7,4,0.0,1,0,0,1,0,239,200,1
1,41.33,0.0,1,1,4,0,15.0,1,0,0,0,0,0,0,1
1,22.58,10.04,1,1,13,4,0.04,1,1,9,0,0,60,396,1
1,21.0,4.79,0,0,7,4,2.25,1,1,1,1,0,80,300,1
1,37.17,4.0,1,1,4,0,5.0,1,0,0,1,1,280,0,0
0,47.75,8.0,1,1,4,4,7.875,1,1,6,1,0,0,1260,1
0,33.08,1.625,1,1,10,4,0.54,0,0,0,1,0,0,0,0
1,23.25,1.0,1,1,4,4,0.835,1,0,0,0,1,300,0,1
0,46.08,3.0,1,1,4,4,2.375,1,1,8,1,0,396,4159,1
0,18.83,9.54,1,1,2,4,0.085,1,0,0,0,0,100,0,1
0,19.17,8.585,1,1,8,1,0.75,1,1,7,0,0,96,0,1
1,20.08,0.25,1,1,9,4,0.125,0,0,0,0,0,200,0,0
0,64.08,0.165,1,1,6,2,0.0,1,1,1,0,0,232,100,1
1,20.42,1.835,1,1,4,4,2.25,1,1,1,0,0,100,150,1
1,36.42,0.75,0,0,10,4,0.585,0,0,0,0,0,240,3,0
1,49.5,7.585,1,1,1,0,7.585,1,1,15,1,0,0,5000,1
1,16.08,0.75,1,1,4,4,1.75,1,1,5,1,0,352,690,1
0,28.42,3.5,1,1,7,4,0.835,1,0,0,0,1,280,0,1
1,20.67,0.415,1,1,4,4,0.125,0,0,0,0,0,0,44,0
1,34.75,15.0,1,1,12,3,5.375,1,1,9,1,0,0,134,1
1,39.0,5.0,1,1,8,4,3.5,1,1,10,1,0,0,0,1
1,37.42,2.04,1,1,7,4,0.04,1,0,0,1,0,400,5800,1
